noOfCharacters,noOfWords,noOfUniqueWords,sentCount,noOfCommas,noOfSemicolons,noOfQuestions,noOfExclamation,noOfSpellErrors,meanWorldLength,avgWordLength,avgSentenceLength,stdDeviationSentence,noOfNounCount,noOfVerbCount,noOfAdjCount,noOfAdvCount,keywordRelevance,score
1835,225,160,23,17,17,1,4,23,0,0.012048192771084338,14.434782608695652,6.8450304852531785,88,45,25,13,12,8.0
2515,326,212,21,5,5,1,0,24,0,0.008048289738430584,23.666666666666668,12.844614707500066,101,66,38,27,9,8.0
1090,136,108,18,3,3,2,0,7,0,0.009389671361502348,11.833333333333334,5.294126724756197,60,29,15,6,2,7.0
1642,189,96,18,0,0,0,0,4,0,0.006756756756756757,16.444444444444443,6.701759488888987,71,52,11,5,10,8.0
71,10,10,1,1,1,0,0,1,0,0.26666666666666666,15.0,0.0,3,2,2,1,0,2.0
1117,148,110,18,0,0,0,0,13,0,0.018604651162790697,11.944444444444445,8.05172322633983,53,22,25,11,9,7.0
2502,305,185,17,14,14,0,0,13,0,0.014893617021276596,27.647058823529413,13.894311897830235,100,73,31,25,8,4.0
810,104,67,3,5,5,0,0,8,0,0.029940119760479042,55.666666666666664,29.465610840812754,31,37,10,5,1,1.0
1119,145,99,15,12,12,4,0,20,0,0.009009009009009009,14.8,6.544208635630948,49,24,19,8,6,2.0
2635,317,183,31,22,22,0,0,17,0,0.004273504273504274,15.096774193548388,5.402238715806608,97,71,29,24,9,4.0
2307,299,224,35,25,25,1,0,31,0,0.004662004662004662,12.257142857142858,3.8496222979319272,104,64,41,15,8,4.0
1655,216,152,24,16,16,0,0,18,0,0.0031746031746031746,13.125,6.029873547596169,68,44,28,6,7,4.0
2853,325,233,25,31,31,5,0,23,0,0.006012024048096192,19.96,9.232464459720385,115,72,41,12,9,5.0
3994,515,262,36,21,21,1,0,31,0,0.0025157232704402514,22.083333333333332,9.2897045760945,140,102,44,47,19,2.0
1875,218,144,19,20,20,0,0,15,0,0.009174311926605505,17.210526315789473,7.494411583716868,73,38,33,12,7,4.0
2021,248,173,24,21,21,3,1,16,0,0.007792207792207792,16.041666666666668,5.342277656164603,76,57,25,20,3,4.0
1688,209,127,17,13,13,2,0,14,0,0.011834319526627219,19.88235294117647,10.521028539191944,62,48,15,8,7,3.0
1690,212,156,18,14,14,0,0,15,0,0.03134796238244514,17.72222222222222,9.385601002218213,71,59,20,9,3,3.0
2561,312,215,29,14,14,0,1,11,0,0.00211864406779661,16.275862068965516,7.338592140299438,96,58,33,24,12,5.0
1686,213,150,11,13,13,0,0,14,0,0.00906344410876133,30.09090909090909,12.00344303223451,69,41,20,11,6,3.0
550,62,45,5,5,5,0,0,3,0,0.041237113402061855,19.4,5.748043145279966,20,21,5,1,1,3.0
1886,239,173,17,13,13,3,0,17,0,0.0113314447592068,20.764705882352942,7.596666542672097,71,55,31,14,4,3.0
3308,423,195,35,12,12,0,0,12,0,0.0015455950540958269,18.485714285714284,7.951177553658068,133,101,42,30,5,4.0
1838,216,130,13,28,28,2,0,24,0,0.006006006006006006,25.615384615384617,10.688156360688804,62,49,29,19,6,3.0
663,86,64,5,5,5,0,0,6,0,0.015873015873015872,25.2,8.280096617793781,23,22,7,3,2,1.0
1746,218,119,21,14,14,0,0,11,0,0.0029239766081871343,16.285714285714285,7.145713714514172,74,48,23,16,10,3.0
1515,199,128,11,6,6,0,0,12,0,0.012084592145015106,30.09090909090909,9.903668241015506,60,51,12,8,2,3.0
1383,178,103,17,4,4,0,0,12,0,0.003663003663003663,16.058823529411764,7.988746410054099,51,47,12,6,5,3.0
1024,122,103,9,10,10,0,0,12,0,0.02577319587628866,21.555555555555557,7.166451331820934,41,22,16,6,6,3.0
2614,332,180,21,15,15,4,0,26,0,0.00984251968503937,24.19047619047619,9.090125713516196,98,84,36,18,14,4.0
2537,321,195,19,33,33,0,0,26,0,0.002074688796680498,25.36842105263158,14.441207582965271,98,68,37,18,7,3.0
2141,255,192,18,10,10,0,0,16,0,0.007712082262210797,21.61111111111111,7.768446783759207,82,46,36,11,7,4.0
1134,135,105,11,1,1,0,0,5,0,0.03015075376884422,18.09090909090909,9.894484647836945,43,30,18,6,1,4.0
444,57,43,5,0,0,0,0,1,0,0.012345679012345678,16.2,5.5641710972974225,18,13,5,2,4,2.0
1488,185,140,15,11,11,2,0,6,0,0.0035460992907801418,18.8,4.214261501141095,59,51,15,8,1,3.0
1523,183,125,20,8,8,1,0,8,0,0.003424657534246575,14.6,5.043808085167397,65,31,19,14,1,3.0
2166,297,185,38,22,22,0,0,18,0,0.002347417840375587,11.210526315789474,5.4151731018492555,80,68,28,19,5,4.0
2065,232,135,16,19,19,1,0,18,0,0.014245014245014245,21.9375,7.41172002641762,81,38,37,23,4,3.0
922,116,82,8,10,10,0,0,9,0,0.023121387283236993,21.625,8.75981592272349,34,21,19,7,3,3.0
1967,251,170,18,15,15,2,0,21,0,0.01282051282051282,21.666666666666668,12.07384685084989,73,57,29,15,6,4.0
1552,195,124,22,12,12,4,0,21,0,0.030405405405405407,13.454545454545455,6.651912047246079,61,43,14,10,12,3.0
2381,287,187,26,14,14,2,0,17,0,0.002304147465437788,16.692307692307693,6.41374264174641,91,69,39,13,11,4.0
1989,242,158,21,20,20,3,0,17,0,0.013404825737265416,17.761904761904763,6.696870355797421,71,56,24,16,9,4.0
2077,252,175,22,8,8,4,0,9,0,0.016216216216216217,16.818181818181817,6.630757283203806,84,54,27,12,10,3.0
1701,209,126,18,13,13,0,0,15,0,0.009708737864077669,17.166666666666668,4.412734098291242,66,34,25,14,13,3.0
2419,276,207,22,21,21,0,0,15,0,0.016203703703703703,19.636363636363637,10.61536388510649,91,52,31,21,3,4.0
2417,289,167,21,14,14,1,0,23,0,0.008658008658008658,22.0,9.783367810436532,107,66,27,12,9,3.0
1790,202,116,21,11,11,0,0,9,0,0.013114754098360656,14.523809523809524,3.375246694603686,64,40,27,14,22,4.0
3742,474,284,41,10,10,3,4,21,0,0.0027472527472527475,17.75609756097561,9.414002253532034,147,122,55,22,9,4.0
2703,338,214,27,20,20,2,5,28,0,0.0038095238095238095,19.444444444444443,9.374248941108643,106,79,44,11,16,4.0
1731,209,157,22,16,16,0,0,13,0,0.027950310559006212,14.636363636363637,8.315076419839363,79,36,31,12,7,4.0
1346,170,119,15,16,16,0,0,14,0,0.0149812734082397,17.8,7.4404300950953095,42,41,22,8,6,4.0
3439,426,274,28,12,12,2,0,17,0,0.013910355486862442,23.107142857142858,11.938351422783532,122,102,46,28,19,4.0
1639,189,139,9,14,14,2,0,17,0,0.0033783783783783786,32.888888888888886,19.705861758733644,66,37,25,14,6,3.0
1972,249,184,25,23,23,9,0,26,0,0.0103359173126615,15.48,9.491554140392394,88,48,28,14,2,4.0
1837,226,150,16,15,15,0,0,18,0,0.008982035928143712,20.875,10.227872457163318,80,36,39,12,4,3.0
2800,327,223,29,31,31,4,0,25,0,0.02004008016032064,17.20689655172414,8.396958851561422,112,76,31,24,6,5.0
1368,182,125,18,0,0,0,0,5,0,0.01056338028169014,15.777777777777779,8.168745011427912,60,34,32,9,0,3.0
2010,245,169,19,19,19,0,0,18,0,0.013192612137203167,19.94736842105263,10.65968146166976,84,36,39,25,4,4.0
1337,154,101,13,10,10,0,0,9,0,0.021367521367521368,18.0,9.13151769338566,61,25,14,11,8,3.0
2676,312,169,20,21,21,0,0,23,0,0.0041841004184100415,23.9,7.783957862167549,99,75,22,16,18,4.0
3197,399,231,40,16,16,5,0,26,0,0.004807692307692308,15.6,6.359245238233857,135,100,33,29,15,4.0
4080,473,294,34,37,37,1,0,33,0,0.008264462809917356,21.352941176470587,9.785590706090664,166,87,65,24,20,4.0
741,94,74,8,3,3,0,0,9,0,0.02857142857142857,17.5,5.852349955359813,23,24,9,6,3,2.0
1450,175,136,17,10,10,5,0,21,0,0.011363636363636364,15.529411764705882,5.730390060215319,58,45,23,8,1,3.0
2538,301,213,30,9,9,3,1,9,0,0.008639308855291577,15.433333333333334,7.796081636879446,100,45,32,19,10,4.0
466,58,42,4,1,1,0,0,1,0,0.05434782608695652,23.0,8.717797887081348,21,11,4,2,2,2.0
1263,156,107,8,2,2,0,0,10,0,0.004310344827586207,29.0,12.449899597988733,55,35,16,8,3,3.0
2126,261,198,17,30,30,2,0,23,0,0.014669926650366748,24.058823529411764,12.674525577547941,86,61,33,13,10,3.0
2975,363,249,41,11,11,0,0,18,0,0.00929368029739777,13.121951219512194,6.890060433559945,138,92,48,14,8,4.0
1499,194,142,18,7,7,1,0,10,0,0.0034965034965034965,15.88888888888889,7.866164453523492,58,42,26,9,8,4.0
1484,183,144,24,17,17,3,1,15,0,0.01384083044982699,12.041666666666666,5.940532851146904,57,37,27,13,5,3.0
1264,158,115,14,5,5,0,0,11,0,0.004016064257028112,17.785714285714285,8.230418939420236,54,29,18,3,9,3.0
1889,245,173,30,23,23,4,0,27,0,0.01662049861495845,12.033333333333333,6.600420862002328,85,46,27,15,8,4.0
1270,152,108,12,16,16,0,0,19,0,0.00425531914893617,19.583333333333332,11.58633054748377,46,34,24,9,13,3.0
1640,191,141,14,6,6,0,0,9,0,0.013793103448275862,20.714285714285715,6.261316285946036,53,40,33,20,1,3.0
2588,351,230,35,15,15,0,0,12,0,0.0019083969465648854,14.971428571428572,5.583064771691078,85,66,37,26,4,3.0
1725,199,121,19,10,10,1,0,16,0,0.0064516129032258064,16.31578947368421,5.12016273979592,65,44,27,10,6,4.0
1648,201,127,19,10,10,1,0,19,0,0.006172839506172839,17.05263157894737,10.419989313109614,65,35,26,12,4,2.0
2392,279,198,24,18,18,3,0,23,0,0.007142857142857143,17.5,4.9916597106239795,92,58,34,16,10,4.0
2031,262,173,20,18,18,0,0,14,0,0.00510204081632653,19.6,8.02122185206219,81,40,28,15,6,4.0
1879,239,138,19,19,19,2,0,17,0,0.010723860589812333,19.63157894736842,8.424341463038674,72,50,24,19,8,3.0
2274,270,164,23,25,25,9,0,37,0,0.00477326968973747,18.217391304347824,11.61317288681499,92,74,32,15,2,3.0
1597,201,137,16,5,5,1,0,8,0,0.00641025641025641,19.5,5.744562646538029,70,49,20,9,3,3.0
1846,215,150,16,19,19,0,0,25,0,0.012461059190031152,20.0625,7.223821270629555,74,34,37,13,8,3.0
631,75,62,7,3,3,0,0,3,0,0.008264462809917356,17.285714285714285,6.583839212458807,22,19,6,7,0,3.0
2019,242,155,24,14,14,2,0,17,0,0.008086253369272238,15.458333333333334,6.284764425886534,87,49,24,12,5,3.0
1880,222,147,18,12,12,1,0,9,0,0.02824858757062147,19.666666666666668,7.475887164001934,69,64,21,16,7,3.0
2017,243,122,18,1,1,0,0,6,0,0.018469656992084433,21.055555555555557,7.449625063065048,84,34,40,7,2,4.0
1749,205,133,13,16,16,1,0,16,0,0.012461059190031152,24.692307692307693,10.658219041476615,67,46,25,13,6,3.0
1831,213,140,20,6,6,0,0,6,0,0.012269938650306749,16.3,6.8854919940408035,74,53,25,10,2,3.0
1994,226,156,15,20,20,1,0,15,0,0.008595988538681949,23.266666666666666,9.963042819451406,86,44,35,9,8,4.0
1699,219,122,15,8,8,0,0,7,0,0.0028653295128939827,23.266666666666666,7.945369021567777,58,53,34,13,3,3.0
784,88,74,8,3,3,0,0,5,0,0.03007518796992481,16.625,5.61109392186586,21,21,13,7,2,3.0
379,44,36,2,4,4,0,0,5,0,0.014084507042253521,35.5,19.5,12,12,3,6,2,1.0
2331,277,143,24,7,7,2,0,18,0,0.006928406466512702,18.041666666666668,5.947542676508416,86,64,34,11,13,4.0
1319,158,88,14,7,7,0,0,6,0,0.0038910505836575876,18.357142857142858,5.714732125419889,46,36,19,5,21,2.0
3180,408,235,33,5,5,1,0,14,0,0.003179650238473768,19.060606060606062,7.298565213666662,117,79,34,20,3,4.0
1566,184,120,13,18,18,0,0,22,0,0.0313588850174216,22.076923076923077,12.393928652998666,62,41,26,5,6,3.0
1675,192,144,16,15,15,1,0,18,0,0.03424657534246575,18.25,9.522998477370455,61,42,25,14,14,4.0
3591,454,248,32,24,24,3,2,34,0,0.005563282336578581,22.46875,11.160713392857106,138,102,50,34,9,4.0
5951,706,415,63,16,16,12,0,26,0,0.003798670465337132,16.714285714285715,8.53457686517461,248,145,78,44,11,4.0
3200,381,262,19,17,17,1,0,20,0,0.011945392491467578,30.842105263157894,15.284196027251351,136,56,45,15,9,4.0
3465,418,276,25,19,19,1,0,19,0,0.004815409309791332,24.92,8.09898759105112,153,80,46,21,11,4.0
1793,220,137,19,10,10,0,0,18,0,0.008875739644970414,17.789473684210527,9.36723824585297,74,47,27,11,2,3.0
3213,392,263,25,20,20,2,0,26,0,0.003418803418803419,23.4,17.715529910222838,128,81,49,24,4,5.0
2315,294,166,13,10,10,1,0,22,0,0.00425531914893617,36.15384615384615,25.422116821158678,87,67,33,19,8,3.0
2120,270,150,25,16,16,7,0,17,0,0.002320185614849188,17.24,7.032951016465279,67,65,26,14,10,3.0
2533,313,218,28,20,20,0,0,17,0,0.002136752136752137,16.714285714285715,8.943701466303946,107,63,31,18,8,4.0
1670,204,148,17,12,12,1,0,19,0,0.012658227848101266,18.58823529411765,7.404758593430958,69,48,26,9,4,4.0
1426,155,107,3,7,7,0,0,13,0,0.03501945525291829,85.66666666666667,55.864916440364325,44,34,28,8,8,3.0
1749,212,118,7,10,10,0,0,15,0,0.005934718100890208,48.142857142857146,17.707371922681336,74,50,26,10,16,3.0
2494,311,207,26,10,10,1,0,9,0,0.00423728813559322,18.153846153846153,5.425667684486879,83,63,49,15,4,3.0
957,120,80,11,8,8,0,0,8,0,0.0053475935828877,17.0,5.830951894845301,34,28,10,3,6,3.0
623,80,48,9,1,1,0,0,1,0,0.02459016393442623,13.555555555555555,1.1653431646335017,23,24,8,0,3,2.0
871,152,104,7,15,15,3,0,20,0,0.012738853503184714,22.428571428571427,7.780142173822915,138,3,1,0,0,2.0
1793,229,120,25,6,6,0,0,8,0,0.0029498525073746312,13.56,5.208301066566716,84,45,25,8,12,3.0
1755,202,148,14,19,19,2,0,18,0,0.006493506493506494,22.0,7.937253933193772,66,47,31,12,3,3.0
1912,241,123,24,11,11,0,0,11,0,0.011111111111111112,15.0,6.278269400612454,65,56,28,19,19,3.0
951,119,84,8,7,7,0,0,11,0,0.01694915254237288,22.125,10.445543308033336,41,23,14,3,2,2.0
897,117,78,9,7,7,1,0,12,0,0.010752688172043012,20.666666666666668,8.082903768654761,36,37,4,6,9,3.0
1297,164,111,13,18,18,2,0,17,0,0.008264462809917356,18.615384615384617,7.457969011409737,69,26,21,6,7,3.0
1718,224,148,13,16,16,0,0,14,0,0.014245014245014245,27.0,10.713040220648422,63,56,25,10,4,4.0
723,97,68,6,3,3,0,0,8,0,0.02027027027027027,24.666666666666668,6.724747000610672,35,17,16,4,3,2.0
708,94,72,10,2,2,0,0,4,0,0.007142857142857143,14.0,6.942621983083913,26,25,8,7,0,1.0
2136,279,186,24,14,14,3,0,24,0,0.002364066193853428,17.625,7.381353195722313,69,80,19,21,2,3.0
1107,135,87,10,9,9,1,0,16,0,0.00980392156862745,20.4,6.053098380168622,48,31,19,6,5,3.0
3220,378,229,22,15,15,0,0,14,0,0.01340033500837521,27.136363636363637,9.12686072956411,138,64,53,23,18,4.0
1901,228,119,7,24,24,0,0,29,0,0.0026109660574412533,54.714285714285715,40.15581895464675,78,53,28,11,8,3.0
1086,129,91,12,19,19,0,0,20,0,0.010309278350515464,16.166666666666668,7.808471183414985,42,32,17,5,5,3.0
1471,179,145,17,4,4,1,0,5,0,0.027450980392156862,15.0,5.8410313352030165,59,42,22,5,15,3.0
1571,184,137,18,16,16,0,0,13,0,0.003355704697986577,16.555555555555557,3.9471821485181358,61,50,12,6,3,3.0
3495,418,250,36,18,18,0,1,27,0,0.0046875,17.77777777777778,8.239845977225247,130,87,48,19,21,5.0
1100,134,97,17,6,6,3,0,3,0,0.04830917874396135,12.176470588235293,6.930200694128538,35,29,17,9,3,3.0
3298,390,246,29,36,36,0,2,29,0,0.005208333333333333,19.862068965517242,6.775840133332924,137,79,53,23,17,4.0
2494,284,183,15,27,27,0,0,25,0,0.006896551724137931,29.0,11.360751148875089,90,56,30,17,5,3.0
1513,176,127,14,13,13,1,0,9,0,0.033582089552238806,19.142857142857142,10.308506493301975,54,42,26,6,10,3.0
2192,291,192,19,31,31,0,0,34,0,0.02158273381294964,21.94736842105263,10.419989313109614,96,57,30,11,14,3.0
1206,144,100,11,21,21,0,0,20,0,0.009345794392523364,19.454545454545453,13.262137743239629,54,32,24,4,3,3.0
1692,215,155,17,11,11,1,0,13,0,0.009345794392523364,18.88235294117647,7.291270791692314,78,39,29,6,7,3.0
1358,157,120,12,12,12,0,0,11,0,0.03829787234042553,19.583333333333332,5.219488054929866,45,34,24,16,4,3.0
1422,178,118,16,1,1,0,0,3,0,0.003745318352059925,16.6875,5.508161558088143,47,47,17,14,9,3.0
2704,330,241,26,30,30,2,0,29,0,0.007722007722007722,19.923076923076923,9.539081865684805,96,77,44,29,8,4.0
2076,251,135,15,10,10,1,0,11,0,0.012690355329949238,26.266666666666666,12.545738541654517,81,46,28,14,5,4.0
1313,162,114,15,10,10,0,0,7,0,0.003952569169960474,16.866666666666667,5.9314603785427265,55,43,21,3,6,3.0
1591,193,116,13,13,13,0,0,9,0,0.016286644951140065,23.615384615384617,8.223217239934012,61,42,14,9,6,3.0
738,94,69,6,1,1,0,0,9,0,0.02040816326530612,24.5,6.13052471924984,32,19,6,7,1,2.0
2965,324,222,25,16,16,1,0,20,0,0.009784735812133072,20.44,9.364101665402826,113,66,32,27,6,4.0
2215,268,173,24,8,8,1,0,13,0,0.009925558312655087,16.791666666666668,8.067316606048273,96,44,37,14,6,3.0
2251,264,189,13,28,28,0,0,25,0,0.002512562814070352,30.615384615384617,10.550526501907648,94,56,25,11,8,4.0
2135,275,187,18,20,20,4,0,25,0,0.007444168734491315,22.38888888888889,10.980482123036355,100,44,27,18,16,4.0
1472,175,117,14,11,11,0,0,9,0,0.0037593984962406013,19.0,7.901175319442762,57,33,19,5,8,4.0
1799,229,149,25,15,15,3,0,15,0,0.011142061281337047,14.36,7.076044092570367,73,44,22,16,3,4.0
3409,426,218,29,6,6,1,1,21,0,0.0136986301369863,22.655172413793103,9.553031156686254,146,80,45,32,15,4.0
2716,316,231,20,23,23,3,0,28,0,0.008213552361396304,24.35,9.477737071685414,126,55,44,22,7,4.0
2153,267,165,23,19,19,1,0,17,0,0.012135922330097087,17.91304347826087,7.906590775660632,77,51,41,15,7,3.0
2056,255,165,25,16,16,1,0,14,0,0.01278772378516624,15.64,8.494139155912151,76,55,26,20,6,4.0
4875,594,332,39,56,56,13,0,48,0,0.004287245444801715,23.923076923076923,11.041610379075763,164,138,55,28,3,4.0
2588,306,189,19,8,8,0,0,11,0,0.020134228187919462,23.526315789473685,8.993380144672681,109,65,30,20,8,4.0
1592,184,132,12,25,25,1,0,23,0,0.0313588850174216,23.916666666666668,9.543395039968159,54,36,18,18,5,4.0
1744,225,143,20,11,11,2,0,9,0,0.014204545454545454,17.6,7.742092740338365,77,51,23,16,10,3.0
2392,292,195,27,6,6,1,0,9,0,0.0045351473922902496,16.333333333333332,5.6371781750959205,93,68,43,19,3,4.0
2452,305,182,24,10,10,0,0,15,0,0.00847457627118644,19.666666666666668,8.127456893491072,91,69,29,16,10,4.0
1487,187,153,13,32,32,3,0,27,0,0.01384083044982699,22.23076923076923,6.053020176278769,57,41,26,13,1,3.0
2206,277,147,25,18,18,3,1,22,0,0.00954653937947494,16.76,5.934846249061555,77,81,35,21,11,4.0
1805,220,164,24,15,15,2,0,15,0,0.012269938650306749,13.583333333333334,6.271075576716396,78,41,34,19,5,3.0
1805,216,155,17,18,18,0,0,10,0,0.005970149253731343,19.705882352941178,5.538790544156867,66,44,31,10,11,4.0
1803,245,165,26,3,3,2,7,24,0,0.022284122562674095,13.807692307692308,7.69624899030106,74,52,31,15,1,3.0
2258,272,136,14,19,19,0,0,20,0,0.002398081534772182,29.785714285714285,14.760848656538164,91,74,30,11,15,4.0
2284,285,153,28,7,7,0,0,11,0,0.004545454545454545,15.714285714285714,6.379975049532174,86,70,34,7,3,3.0
2474,294,187,16,19,19,0,0,14,0,0.012658227848101266,29.625,14.512386950464077,85,63,34,31,13,4.0
1756,202,126,14,14,14,0,0,12,0,0.006024096385542169,23.714285714285715,10.545334590834617,66,39,23,10,2,3.0
1645,191,141,15,15,15,0,0,18,0,0.03508771929824561,19.0,7.183313998427188,52,46,24,16,8,4.0
2870,363,197,34,9,9,0,0,14,0,0.018656716417910446,15.764705882352942,5.291829570915191,138,75,52,22,24,4.0
1094,138,75,11,0,0,2,0,4,0,0.02727272727272727,20.0,6.619530332144556,42,35,18,4,7,3.0
494,95,55,4,0,0,0,0,1,1,0.021052631578947368,23.75,2.5860201081971503,89,2,0,0,0,2.0
1033,120,75,8,6,6,0,0,8,0,0.005,25.0,8.972179222463181,39,21,13,5,6,3.0
2170,266,168,16,9,9,0,0,13,0,0.0071090047393364926,26.375,13.303547459230565,100,47,25,6,7,3.0
3174,385,269,28,18,18,1,0,24,0,0.012302284710017574,20.321428571428573,7.672090288034618,137,80,43,15,8,4.0
2089,247,159,21,23,23,1,0,25,0,0.008,17.857142857142858,8.520483522417159,88,46,28,7,16,3.0
1766,202,135,7,9,9,1,0,17,0,0.0030959752321981426,46.142857142857146,19.751517637376423,67,31,35,13,4,4.0
3862,475,275,38,13,13,1,0,29,0,0.011034482758620689,19.07894736842105,10.390738738104508,176,84,58,34,8,4.0
1023,127,87,8,1,1,1,1,6,0,0.0213903743315508,23.375,12.20591557401574,29,33,18,9,8,3.0
1008,119,87,9,0,0,0,0,3,0,0.015706806282722512,21.22222222222222,4.613453220450376,37,28,21,4,5,3.0
1583,201,119,15,6,6,0,0,12,0,0.0033222591362126247,20.066666666666666,9.080871225946453,66,40,21,8,18,4.0
2555,302,218,28,16,16,0,0,9,0,0.00423728813559322,16.857142857142858,6.457079645708299,98,74,39,15,7,4.0
944,119,88,8,4,4,0,0,10,0,0.0055248618784530384,22.625,9.707439157676962,40,25,12,10,2,2.0
874,112,83,9,3,3,1,0,4,0,0.011363636363636364,19.555555555555557,13.622784110216982,28,27,9,8,2,1.0
2127,275,187,30,12,12,6,0,12,0,0.009478672985781991,14.066666666666666,8.258060035841078,79,60,34,12,9,3.0
2159,268,166,24,18,18,5,0,31,0,0.0025974025974025974,16.041666666666668,6.017191805337621,96,56,29,13,5,3.0
2443,293,160,22,15,15,0,0,16,0,0.02304147465437788,19.727272727272727,5.091720714523799,105,53,27,18,14,4.0
1999,240,182,22,17,17,3,0,15,0,0.011204481792717087,16.227272727272727,5.4350028701323705,86,50,31,9,12,5.0
1472,191,145,13,7,7,1,0,18,0,0.020905923344947737,22.076923076923077,7.065207694280021,74,38,22,11,3,3.0
1318,165,105,13,9,9,1,0,6,0,0.015384615384615385,20.0,6.421119001448987,45,45,21,10,7,4.0
2774,316,194,20,23,23,0,0,17,0,0.01016260162601626,24.6,6.4296189622714035,111,65,46,19,15,4.0
1230,155,73,20,0,0,0,0,2,0,0.00423728813559322,11.8,5.268775948927797,41,44,17,3,10,3.0
1667,201,160,18,21,21,1,0,21,0,0.022653721682847898,17.166666666666668,9.833333333333334,64,35,36,14,11,4.0
2092,235,178,19,19,19,1,0,20,0,0.008264462809917356,19.105263157894736,5.972698736241919,80,37,40,14,9,3.0
1568,235,110,24,3,3,1,0,17,0,0.0029585798816568047,14.083333333333334,6.271075576716397,54,56,21,6,2,3.0
3007,358,267,38,19,19,1,0,15,0,0.0055147058823529415,14.31578947368421,5.772463047944888,136,59,46,22,6,5.0
2969,343,229,22,28,28,3,0,34,0,0.01073345259391771,25.40909090909091,8.922184256157593,114,68,37,21,8,4.0
2382,310,181,27,3,3,2,0,7,0,0.00641025641025641,17.333333333333332,6.997353997259461,86,69,38,20,1,3.0
1421,183,137,12,19,19,3,0,21,0,0.0036101083032490976,23.083333333333332,10.904573454391613,58,49,24,11,3,3.0
